date,rating,note,review_text
2024-02-01,5,Stayed with kids,"Large, peaceful home in a great location."
2024-02-01,5,Group trip,It was a nice clean house and a good neighborhood
2024-02-01,5,Group trip,Great place. Perfect for my crew. Just be sure to lock vehicles and keep belongings in your possession.
2024-01-01,5,Group trip,Was a great experience. They have great communication and were awesome host.
2023-12-01,5,Group trip,"Hosts are the best! Very helpful, quick to respond, and very friendly! Would definitely stay again!"
2023-12-01,5,Stayed with kids,"We stayed at Alexis and Jacky’s place to visit family in Bakersfield for the holidays, and it was perfect! Very clean, bathrooms had plenty of towels, great layout - large kitchen and dining area with lots of room to cook and eat meals. The house was in a very quiet area - we never heard our neighbors. We had a baby with us and she slept great! Alexis and Jacky were also super responsive and proactive in their communication. Highly recommend their place!"
2023-12-01,5,Group trip,"Great place, for a big family, spacious and clean. Nice quiet neighborhood. We would definitely stay here again."
2023-12-01,5,Group trip,Great place to stay!
2023-12-01,5,Stayed with a pet,"This is a beautiful home in a great location. Close to shopping and great restaurants. We had such a wonderful experience from booking to check out. The kitchen had some wonderful snacks. The rooms were large. The furniture and beds are so comfortable. We slept well. There are 3 full bathrooms which is so nice with 7 adults.
Any questions we had were promptly answered. Our hosts were very nice and helpful.
We look forward to staying here again."
2023-12-01,5,Group trip,It’s always a pleasure to stay here!
2023-11-01,5,Group trip,Jacky & Alexis are fantastic hosts! The home was just perfect for our 3 day stay. Wonderful accommodation! Would definitely stay here again when back in Bakersfield. Thank you for the hospitality!
2023-11-01,5,Group trip,Great place just as described.
2023-11-01,5,Group trip,It was a pleasure. Hope to return again.
2023-11-01,5,Group trip,We’re very comfortable in this house.
2023-10-01,5,Group trip,Very nice house.
2023-10-01,5,Group trip,"My family and I really enjoyed our stay. This home felt very clean and cozy. Thank you for the snacks and waters you left us Alexis and Jacky, truly appreciate that thoughtful touch. Would definitely stay here again!"
2023-10-01,5,Stayed with a pet,Me nd my kids. Love the way the home was very welcoming made us feel right at home. Our Host was always responding back quickly. The master suite was my favorite spot. My kids enjoyed the kitchen for family meal time. Thank you Jacky and family for sharing your home. I will recommend my family and friends who need an Airbnb. God bless And we look forward on renting your home in the future. Da Mainos8&Some
2022-11-01,5,Stayed with kids,"Beautiful neighborhood, beautiful house and the hosts are amazing!
our Thanksgiving trip was more pleasant than we expected."
2022-11-01,5,Stayed with a pet,"Alexis and Jacky’s place was great. It was conveniently located near many shops and restaurants and was in a nice neighborhood. They were very attentive and proactively reached out to us to make sure everything was going well during our stay. The house is very spacious and has a securely fenced backyard for the pups! There are fun games to play, too."
2022-11-01,5,Stayed with kids,"I’ve stayed in a lot of places and they have a wonderful home that was perfect for our family of 9. Clean, roomy and so inviting."
2022-11-01,5,Group trip,Fantastic Airbnb. The hosts were very responsive and extremely accommodating. We will be staying again.
2022-11-01,5,Group trip,"nice place, will stay again"
2022-10-01,5,Stayed a few nights,Immaculate home in a great part of Bakersfield. Will be coming back on our next trip.
2022-10-01,5,Group trip,This was a great house and location for our trip! The host were very responsive as well! Highly recommend this property and these hosts!!
2022-10-01,5,Group trip,Great host and great location
2022-10-01,5,Group trip,very nice
2022-09-01,5,Stayed with a pet,"Hands down the best hosts I’ve encountered. They had direct and clear communication, the house was very clean and very nice. The neighbors were never a problem. Did I mention the snacks? 😍❤️"
2022-09-01,5,Group trip,"Great stay! My friends and I were traveling for a wedding in town & wanted to find a comfy, but spacious place to stay. This was perfect! Comfortable and clean home. Communication with host went great as well. Would stay here again."
2022-09-01,5,Group trip,"We loved this bnb. It looks small from the outside but when you walk in. Wow! It’s decorated so cute and comfy. It’s perfectly located next to stores,restaurants. The hosts always responded when we needed them.We didn’t get to fully enjoy it due to other engagements but next time,we will hang out and soak it all in. Thank you again. I would stay here again 100%."
2022-09-01,5,Group trip,"My family and I had a lovely stay at this house. Alexis and Jacky are attentive hosts, very communicative with prompt and professional responses. They assisted us with a few questions before booking, even following up the day before check-in to make sure everything had been addressed. They remained available for communication throughout the stay and made sure we had all our check-out info the night before. They were wonderful, and are very open to receiving feedback on how to make their visitor’s experience even better.
The house itself was great. It’s not easy to find a one-story house with 5 bedrooms! It was pretty clean inside, nothing to cause any alarm.
Fully functional kitchen with fridge/freezer, coffee machine, cooking equipment, plates and utensils, etc.
Dining area and living room were roomy enough to seat 6-8 people comfortably. There were some games stored in the living room (we played Cards Against Humanity for hours and hours), which was a nice touch! Also a Smart TV in the living room and in each bedroom.
Each bedroom was also furnished with comfortable bedding and some furniture, along with ceiling fans to supplement the central air conditioning. Two bedrooms had full en-suite bathrooms and there was a third full bathroom in the hall.
Washing machine and dryer worked great.
We didn’t get a chance to use the backyard (hottest weekend of the summer! No one wanted to go outside).
Driveway easily fit two cars and there was street parking available. The neighborhood was quiet and the house was only a couple minutes away from plenty of stores and restaurants.
Overall, it was a great stay in a great house for a great price with great hosts!"
2022-08-01,5,Group trip,Great
2022-08-01,4,Stayed with kids,great place
2022-07-01,5,Group trip,Great central location and good size. Communication was great and Alexis and Jacky were great hosts.
2022-07-01,5,Group trip,"This house was perfect for our stay! Great location, very clean, excellent communication, and plenty of beds for a larger group of guests. The description of what is provided is spot on, the host was very accommodating as well! We had a very comfortable stay and will definitely book here again when we visit Bakersfield. The host cares about your experience which is refreshing! Excellent service and beautiful house makes for a great air bnb stay!"
2022-07-01,5,Stayed with kids,Great experience. Highly recommend.
2022-07-01,5,Stayed about a week,Nicely appointed house with everything you need. Close to shops and restaurants and grocery. Alexis and Jacky were very responsive to our needs.
2024-06-01,5,Stayed a few nights,Beautiful place! Felt very homey and was really clean.
2024-06-01,5,Stayed a few nights,Beautiful private suite. Super clean and quiet. Comfy bed. Perfect stay.
2024-06-01,5,Stayed a few nights,I highly recommend Karen and Cedric’s place to anyone staying out in Bakersfield! Very private and clean. They were always responsive to my messages and very friendly:). Thanks for letting me stay! Will come back!
2024-06-01,5,Stayed one night,"We always enjoy our stays at Karen's & Cedric's Airbnb's, this time around it was my husband who stayed. Everything is always clean, the community is beautiful, we feel safe and communication is always open. Thanks again!"
2024-06-01,5,Stayed a few nights,"Staying at Karen and Cedric’s place, was once again a pleasure , everything is as the pictures indicated and even more. Thank you for having me again."
2024-06-01,5,Stayed one night,"My wife and I had a wonderful stay at Karen & Cedric's place! The accommodation was spotless, comfortable, and exactly as described. They were incredibly welcoming and responsive, making sure I had everything I needed for a perfect stay. Thank you, Karen & Cedric!"
2024-06-01,5,Stayed a few nights,Beautiful place
2024-05-01,5,Stayed one night,Great suite! Definitely coming back.
2024-05-01,5,Stayed a few nights,It was exactly what I hoped for. Thanks for being a great host!
2024-04-01,5,Stayed a few nights,This place was wonderful. It was extra clean and the bed was comfy. I would stay here again anytime! Thank you Karen and Cedric for hosting. 💕
2024-04-01,4,Stayed a few nights,Nice place to stay.
2024-04-01,5,Stayed a few nights,This was my 3rd stay at Karen & Cedric’s unit. The unit was amazing as usual and the hosts are great with communication! They are my number 1 pick for renting when I visit Bakersfield!
2024-03-01,5,Stayed a few nights,"Karen and Cedric's place was perfect! The room is beautifully decorated and my husband and I felt right at home. It's truly a private getaway that feels safe and relaxing. The host are responsive and provided detailed instructions making check-in a breeze. We will absolutely book future stays here again when available. Thank you, Karen and Cedric!"
2024-03-01,5,Stayed one night,Awesome room! Looking forward to staying again.
2024-02-01,5,Stayed one night,Neat and peaceful stay. We will definitely look for next time we stay in town. Easy access and instructions. Love the small touches and attention to detail.
2024-02-01,5,Stayed a few nights,Great stay! Stayed here a few times and every time has been very clean and quiet.
2024-02-01,5,Stayed a few nights,"Great place. warm, cozy, modern and peaceful. Loved my stay. Definitely recommended"
2024-02-01,5,Stayed a few nights,Very friendly and were accommodating during check in time given inclement weather!
2024-02-01,5,Stayed a few nights,"Great stay while visiting my home town. Slight hiccup at the beginning; nonetheless, Cedric took care of it and ensured our weekend was a success. Cedric, you’re the man!"
2024-02-01,5,Stayed a few nights,Great find! Very clean and the hosts are very nice and welcoming
2024-01-01,5,Stayed a few nights,"We loved our first stay so much we knew we'd be back. My husband had an amazing stay. Karen and Cedric are always so nice and accommodating. The guest suite is beautiful, in a safe neighborhood and very clean. Thanks again for an awesome stay!"
2024-01-01,5,Stayed a few nights,"Great stay at this boutique room in Bakersfield! I was visiting to preview a horse and had a great time. Hosts were communicative, and room was just as pictured. Sparkling Cider and some snacks provided were great too after a long flight. Loved the shower as well and the backyard is gorgeous! Thanks so much!"
2024-01-01,5,Stayed a few nights,"Karen & Cedric’s place was exactly as described. It was a last minute booking and I was arriving late; Karen answered right away to reassured me that it was ok. Upon arriving instructions were very clear which made it easy to check in and I felt right at home. Everything was very organized, clean, the bed was comfortable and the bathroom was spacious. Overall a great 3 day stay and I will definitely book again."
2023-12-01,5,Stayed with kids,"I loved my stay. It was private, quiet and very comfortable. I am looking forward to coming back. It was decorated so cute. Tons of charm. I really did enjoy myself it was a mini vacation for myself."
2023-11-01,5,Stayed one night,"Karen & Cedric’s place was easy to find, in a beautiful location, and super cute! There was ample parking space and the parking directions they gave were very clear and helpful! They even had sparkling apple cider and two little mason jars waiting for us when we checked in. Check in and check out was easy and convenient and Karen & Cedric were communicative and respectful! Overall great stay! Definitely will be staying here again!"
2023-11-01,5,Stayed a few nights,"Staying at Karen and Cedric's Airbnb was an absolute delight! The room was pristine, offering a cozy and clean space that made the stay incredibly enjoyable. Karen and Cedric's swift responses and understanding nature were exceptional, making the experience even better. The location was serene and felt safe, contributing to a peaceful atmosphere throughout the stay. I was so impressed that I've already booked another stay in their alternate room. Highly recommended for anyone seeking a fantastic Airbnb experience!"
2023-11-01,5,Stayed a few nights,Always a great place to relax after a long day of work.
2023-10-01,5,Stayed a few nights,"This was exactly what I was looking for :)! Very quiet and relaxing, with friendly hosts. Clean, quaint, just like the photos. Nice neighborhood with nearby store and nail salon (recommended by my host). Highly recommend this cute bungalow and my responsive, helpful hosts!"
2023-10-01,4,Stayed a few nights,"My only recommendation is to have 2 chairs in the room so that couples can sit somewhere other than the bed.
Everything else was great 😊"
2023-10-01,5,Stayed a few nights,Thank you Cedric and Karen! You are awesome. This was my first Airbnb and was very happy with your place.
2023-10-01,5,Stayed about a week,our stay was great. A wonderful room and area. very quite. great hosts
