,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2018-01-31,0.9730258755463489,0.974499738558303,0.9753096337203799,0.9952317035182582,0.9913875388095317,0.9712172049204161,0.9857714539795464,0.9657794258771991,0.9782322033815483,0.9673384842661771,0.9803632400762199,,0.960211920761243,0.9735592219342498,,0.9763509998102358,0.9739467570506994,0.9730244320517366,0.9819114129107364,0.9791013584117032,0.9732199256503469,0.9797384527636879,0.9765418606348817,0.9739826551034024,0.9795479009687836,0.9740930653722601,,1.0,0.9906648885502,0.9680900860844541,0.9746606334841629,0.9871557365163596,0.9648139821479419,0.9665308593221845,0.9727045810483441,0.9895580024677635,0.981530447316614,0.9803921568627452,0.9724121906834776,0.983807161210364,0.9721718996850758,0.9733426349931973,0.9901702410652148,0.9826543638919242,,0.9914113182573935,0.9794248972544367,0.9696905904697748,0.9960629154127606
2018-02-28,0.9763657847007952,0.9727101606243875,0.9811973804264408,0.9974034559419713,0.9931094381574352,0.970067974660847,0.9732062763782886,0.9687982692216904,0.9755416319736998,0.9682618535077552,0.9797269011190849,,0.9618305151284071,0.975966688038783,,0.9778427030294802,0.9759353660464472,0.9727285633382315,0.9908828726521861,0.9944382647385984,0.9773665144997014,0.9875815000141245,0.9754744281611646,0.9776114504449728,0.9777681962638556,0.9755744991882044,,1.0,0.99278265986283,0.9658178099105617,0.9788858046330948,0.9917934604344055,0.969775658626213,0.9698279768439872,0.9806708777693379,0.989595829575364,0.9741020677916822,0.9818451278251203,0.9735119925730794,0.979381443298969,0.9731645911547748,0.9785430490271219,0.9909594569757889,0.9871413903746671,,0.9928822723022189,0.9839083215400913,0.9699769053117784,1.0
2018-03-31,0.9807536993151202,0.9798974420829313,0.9837246142783512,1.000017224617332,0.9969257629604721,0.9732339862286128,0.975674206570375,0.9711760346714026,0.9790919991942909,0.9693458943390553,0.9799331986583897,,0.9661516298553114,0.9796139779105558,,0.974850149332516,0.9756654617154124,0.9797931301304199,0.9895603614347964,0.990765679107349,0.9813461122025271,0.9952087041024772,0.9803591999975672,0.9778488423510268,0.993152759345021,0.9801018425801757,,1.0,1.0,0.9721417718403442,0.9791982826203964,0.9979505783244101,0.9680859372349975,0.97422958220035,0.9920473995374153,0.988953319129551,0.9813194271803478,0.9853687667960586,0.9756374934450709,0.981029810298103,0.9780657479774834,0.9839980130151168,0.9926470588235294,0.9889360915399458,,0.9989723567302642,0.992665684481699,0.9677640695130872,1.0
2018-04-30,0.9862839102311213,0.9808976557287674,0.9823809426307022,1.000997576730447,0.9976019683601063,0.9762078269291526,0.9743151590858992,0.9714883804652046,0.9783872683123992,0.9770600846973045,0.9852037915623069,,0.9713507671865254,0.9815554037738746,,0.976486950352823,0.98217500537332,0.9847231264764439,0.9958081478482573,0.9864866774863376,0.9862158400355244,0.9933935692814856,0.9814716929355731,0.975609756097561,0.9929603556872916,0.9823051032609552,,0.9974554707379136,1.0,0.9733847753841626,0.983216970998926,0.999137721583542,0.9769075727813415,0.9740475714253508,0.984143124761462,0.9910818108795674,0.984818305944258,0.9910608551039464,0.9774300132251519,0.9849624060150376,0.9826517459208421,0.9865190339620911,0.9927657004830918,0.9900907201531985,,0.9996307655750103,0.9975094019217406,0.964423433444568,1.0
2018-05-31,0.9836956549520739,0.9794130037642428,0.9850222400164136,0.999937254290932,0.9978879411868423,0.9785478055169138,0.9876683617654617,0.97352256984325,0.9816143545260936,0.9763624310826833,0.9905347029555298,,0.9747756380157543,0.9878348294035766,,0.9782152500903981,0.9796087414593849,0.9865485334011854,0.9950541499382562,1.0,0.9916839192748538,0.9953448360497124,0.9816203798037882,0.9799598393574296,0.9968243886948236,0.983746725399988,,1.0,1.0000970873786408,0.9747379648712226,0.9843673801898982,1.0,0.9768608408579952,0.9776911005264206,0.9825442790356563,0.9928864548491242,0.9853010487262945,0.9966030265308876,0.9792468437613963,0.9877469367341836,0.9819538385285043,0.9854052511668918,0.9920508744038156,0.9925214494530405,,1.0011216011946988,1.0000797866801987,0.9642857142857144,0.9972124226665932
2018-06-30,0.9798890435225065,0.9828741070750572,0.9838000881332921,1.0005397766505506,0.9971328914561688,0.9788868979968578,0.9873007996034981,0.9741922586154594,0.9828013026344984,0.9708774052623278,0.9896643935037849,,0.9756154234674658,0.9889169163523838,,0.9783246673892104,0.978279821943038,0.9882657700593942,0.9986493847163677,0.9907883325930156,0.9939165547134198,0.9974063866736254,0.9865063912196984,0.9763940501025664,0.9916782538390528,0.9831226563632424,,1.0,1.000111934517439,0.9725676235277358,0.985813492063492,1.0,0.9827178090500794,0.9811619297570257,0.9823297173172475,0.9925448036752325,0.9881762995542608,1.0,0.9796291142675279,0.9829795601348894,0.983492929120292,0.9863438295371532,0.9949909613363674,0.9924920488555246,,1.0005360137449302,1.0000916921367047,0.9656873854987064,1.0
2018-07-31,0.9803084848863731,0.9806276006482074,0.9814910051692045,0.9978586747443356,0.9972051783284963,0.9809306434012097,0.9871778431024392,0.9720641381654743,0.9803680353991628,0.9705849437942334,0.9887575125571643,,0.9756503563209926,0.9854430425581759,,0.9753888044591755,0.9770645711831564,0.988980520001743,0.9989092129225706,0.9924528301886792,0.9920515124356918,0.9989278055754109,0.9805917591672946,0.9767917411157436,0.993939393939394,0.9827777087509016,,0.993697270471464,1.0000930023987324,0.9762969964422221,0.9859157255135065,0.9986679946719788,0.9833435565860776,0.9770818846594497,0.9807508155060187,0.9930342780945821,0.9844148443543593,1.0,0.9810243568419408,0.9855715065517788,0.9832301420255984,0.9843218369515054,0.9944444444444445,0.9918963405229344,,0.9985147856303622,1.0,0.9776061034905972,0.998853539696188
2018-08-31,0.9784371857513101,0.9785697995751619,0.9809244287998121,0.9957346824685687,0.9937762264101836,0.9781457763475465,0.9878892733564014,0.9715907582890938,0.9814030723460995,0.9754696348575171,0.983958960588199,,0.9699002642107669,0.9809391665975299,,0.9711977092440987,0.9756810886688321,0.9874829940711894,0.9895800184502531,0.9888847721378288,0.9895570832827355,0.9930182329775613,0.981583410448527,0.9792387543252596,0.9888579387186628,0.9812258908289951,,0.9966892808683854,1.0,0.9766664223864705,0.9823852030382028,0.9968253128070618,0.9812181608912516,0.9765210681922782,0.9819499313144546,0.9914984761157261,0.9839172408061021,0.9907700107411984,0.9820011639568489,0.9871139625924314,0.9802652388987582,0.9823433427454522,0.9927110993096123,0.9896758130250012,,0.9988881124332113,1.0001151191558713,0.9696969696969696,1.0
2018-09-30,0.9795145001665653,0.9770428578047938,0.9818940556040185,0.992991081249572,0.9931622446737487,0.9759772534185684,0.9811017664598133,0.9723972654704074,0.9811825403011493,0.9723249825952628,0.9782834174993887,,0.9723572769337748,0.9748698512040312,,0.971663660040162,0.9788283637983036,0.983160239187011,0.9930271303341721,0.9877469367341836,0.9846187340259867,0.9929206175950394,0.9829910953061247,0.9730125579029104,0.9824561403508772,0.9826896476257551,,0.9934107967667436,1.0,0.9765680711328081,0.9803372478169226,0.9909700343996105,0.9789052360558178,0.9717245945722914,0.9831639101873425,0.9846314637551514,0.9823396164299569,0.988816392895856,0.9757315494854507,0.982811811370648,0.9793733882046625,0.9795694020488642,0.9931608814380597,0.9864142456024833,,0.9964487426007574,0.9941397193267809,0.975609756097561,0.9988211013653504
2018-10-31,0.9816668996254077,0.9724642487177743,0.9806234406695792,0.989870188012509,0.9902372567468851,0.9752995079127913,0.9846298772777309,0.9718529267120062,0.980209426204632,0.9721663369445123,0.9807999404824999,,0.9658584906078982,0.9778023231528042,,0.9709828724132019,0.9765505375451344,0.9818069698599159,0.9910875059729549,0.9896334500556137,0.9785753513231786,0.9942220726712016,0.9783207636820246,0.9769874476987448,0.9803921568627452,0.980449910424771,,0.9935275080906149,0.9853687667960586,0.9721724716059349,0.9813858052547026,0.990366397458108,0.9740678262316395,0.9749066900875714,0.9787001570168359,0.9862824393938852,0.9791986429643131,0.984840220138122,0.9788287830363421,0.9846777827850384,0.9763565554522057,0.9795692760118431,0.9880465027634839,0.9877667191150447,,0.9945923572306339,0.9909864471374742,0.960789290284623,0.9960852544584602
2018-11-30,0.9841603619579441,0.9712960396761421,0.9785322049091469,0.9895963862226475,0.9891706215890748,0.9729727136496298,0.9839516608925118,0.9711803400091141,0.9781873603002315,0.9688991528030885,0.9797865406211267,,0.9686481746516252,0.9732618037269558,,0.9693210213292974,0.9775841291313057,0.9782211752698797,0.99032076192305,0.9787234042553192,0.9780576890667227,0.9897232608073342,0.9739740418068894,0.97459479955789,0.9883991481557812,0.9786872486631859,,0.9862703551108496,0.9984994998332776,0.9701114695651442,0.9787104352373079,0.9875643006508332,0.9714900287980776,0.9736286192143007,0.978262134672513,0.9884860646152809,0.9797600096400565,0.98554506034926,0.9759483738148971,0.9812782440284056,0.9770970519163641,0.9780497594059949,0.986462060417171,0.9872800981340832,,0.9949264921185403,0.9890122905695566,0.9633197480548352,0.993211861379064
2018-12-31,0.9749788807274559,0.9744299330062812,0.979929965618689,0.9883132251141684,0.9877648199289483,0.9718225762412738,0.9853128991060026,0.9710325938144333,0.9817452235717342,0.9741411458044195,0.9776228433584354,,0.964610511257989,0.9724418877818803,,0.9682436951143749,0.9748489722878162,0.9758829842411775,0.9892664370295549,0.973703879302535,0.9751694635380346,0.9829783987390489,0.9750713059039356,0.9778112072207596,0.9790583856804572,0.9794681725314948,,0.9925547804454072,1.0,0.9663164331989978,0.9793877122046037,0.9898827562116362,0.9691600463434676,0.9662527055158265,0.9803884681343247,0.9828626108511931,0.9764419489206564,0.9824937477670596,0.9727218158098248,0.9825840501472634,0.9766208381023161,0.976273295121986,0.9857888464554959,0.9815255402072449,,0.9929831064939286,0.9848819851959579,0.9663555826063436,0.996
2019-01-31,0.9798450301091146,0.9797375973685991,0.9766225727006071,0.988744039414998,0.9866047693315162,0.9739190242524207,0.9830783631348394,0.9660924589097458,0.9756772665327001,0.96997820985227,0.9782332047016175,,0.9645797387205481,0.9620074204718013,,0.9677315016143483,0.9757424475166412,0.975691852264233,0.9896188476621829,0.9678077692318947,0.97328122867896,0.9817536270085053,0.9759568476160723,0.969221298861188,0.9816648179363552,0.9755257512263453,,0.9760869565217392,0.9933110367892976,0.9676191374202002,0.9796197140410201,0.9877339100085497,0.9662890941408224,0.9619329331940091,0.9706405845867906,0.9828945546150415,0.9725212845315282,0.979738394460118,0.9730326182960134,0.9809160305343512,0.9751529096218757,0.9760850837931384,0.9865660050056162,0.9790843142243467,,0.9916025302602731,0.9872174247357131,0.9586206896551724,0.9941159164460136
